,id,Annotations,Name,Parent,Description
164,119021659,,Campsie - North,,
165,119021660,,Campsie - South,,
166,119021661,,Canterbury - South,,
167,119021662,,Earlwood,,
168,119021663,,Kingsgrove - North,,
169,11903,,Hurstville,,
170,119031370,,Narwee - Beverly Hills,,
171,119031371,,Oatley - Hurstville Grove,,
172,119031372,,Peakhurst - Lugarno,,
173,119031373,,Riverwood,,
174,119031374,,South Hurstville - Blakehurst,,
175,119031664,,Hurstville - Central,,
176,119031665,,Hurstville - North,,
177,119031666,,Mortdale - Oatley,,
178,119031667,,Penshurst,,
179,11904,,Kogarah - Rockdale,,
180,119041377,,Kingsgrove (South) - Bardwell Park,,
181,119041378,,Kogarah,,
182,119041379,,Kogarah Bay - Carlton - Allawah,,
183,119041380,,Monterey - Brighton-le-Sands - Kyeemagh,,
184,119041381,,Rockdale - Banksia,,
185,119041382,,Sans Souci - Ramsgate,,
186,119041668,,Arncliffe - Bardwell Valley,,
187,119041669,,Bexley - North,,
188,119041670,,Bexley - South,,
189,119041671,,Wolli Creek,,
190,120,,Sydney - Inner West,,
191,12001,,Canada Bay,,
192,120011383,,Concord - Mortlake - Cabarita,,
193,120011385,,Drummoyne - Rodd Point,,
194,120011386,,Five Dock - Abbotsford,,
195,120011672,,Concord West - North Strathfield,,
196,120011673,,Rhodes,,
197,12002,,Leichhardt,,
198,120021387,,Balmain,,
199,120021389,,Lilyfield - Rozelle,,
200,120021674,,Annandale (NSW),,
201,120021675,,Leichhardt,,
202,12003,,Strathfield - Burwood - Ashfield,,
203,120031392,,Canterbury (North) - Ashbury,,
204,120031393,,Croydon Park - Enfield,,
205,120031394,,Dulwich Hill - Lewisham,,
206,120031395,,Haberfield - Summer Hill,,
207,120031396,,Homebush,,
208,120031576,,Strathfield South,,
209,120031676,,Ashfield - North,,
210,120031677,,Ashfield - South,,
211,120031678,,Burwood (NSW),,
212,120031679,,Croydon,,
213,120031680,,Strathfield - East,,
214,120031681,,Strathfield - West,,
215,121,,Sydney - North Sydney and Hornsby,,
216,12101,,Chatswood - Lane Cove,,
217,121011399,,Chatswood (West) - Lane Cove North,,
218,121011401,,St Leonards - Naremburn,,
219,121011682,,Artarmon,,
220,121011683,,Castle Cove - Northbridge,,
221,121011684,,Chatswood - East,,
222,121011685,,Greenwich - Riverview,,
223,121011686,,Lane Cove,,
224,121011687,,Willoughby,,
225,12102,,Hornsby,,
226,121021403,,Asquith - Mount Colah,,
227,121021404,,Berowra - Brooklyn - Cowan,,
228,121021406,,Normanhurst - Thornleigh - Westleigh,,
229,121021577,,Hornsby - East,,
230,121021578,,Hornsby - West,,
231,121021579,,Wahroonga (West) - Waitara,,
232,12103,,Ku-ring-gai,,
233,121031407,,Gordon - Killara,,
234,121031408,,Lindfield - Roseville,,
235,121031409,,Pymble,,
236,121031410,,St Ives,,
