,School Name,SA2,Latitude,Longitude,School Type
3601,Elphinstone Primary School,202021028,-37.10500363,144.33290248,Primary
3602,Hallam Primary School,212021297,-38.001822,145.258217,Primary
3603,Flemington Primary School,206031115,-37.78119802,144.93345283,Primary
3604,Footscray Primary School,213031348,-37.798383,144.892669,Primary
3605,Gisborne Primary School,210021232,-37.4898787135629,144.588212568741,Primary
3606,Sandringham Primary School,208011173,-37.94751516,145.00876402,Primary
3607,Wandiligong Primary School,204031069,-36.768862,146.982923,Primary
3608,Grovedale Primary School,203021041,-38.197238,144.347794,Primary
3609,Hawthorn West Primary School,207011151,-37.820112,145.018377,Primary
3610,Heidelberg Primary School,209011198,-37.754705,145.067799,Primary
3611,Hamilton (Gray Street) Primary School,217011421,-37.744914,142.021384,Primary
3612,Heathcote Primary School,202021029,-36.924012,144.706851,Primary
3613,Highton Primary School,203021042,-38.172156,144.317085,Primary
3614,Huntly Primary School,202011025,-36.662544,144.334396,Primary
3615,Bellbrae Primary School,203031053,-38.33364403,144.26300366,Primary
3616,Chiltern Primary School,204031070,-36.1472,146.607,Primary
3617,Kyneton Primary School,202021030,-37.248649,144.462536,Primary
3618,Romsey Primary School,210021235,-37.35417523,144.74537918,Primary
3619,Shelford Primary School,203011035,-38.0139946,143.98213906,Primary
3620,Lockwood South Primary School,202021026,-36.841657,144.156966,Primary
3621,Marong Primary School,202021026,-36.735549,144.136339,Primary
3622,Mount Macedon Primary School,210021233,-37.40479379,144.5841275,Primary
3623,Mount Clear Primary School,201011004,-37.60439201,143.86818269,Primary
3624,Melton Primary School,213041356,-37.68077598,144.5867993,Primary
3625,Fitzroy Primary School,206071142,-37.799603,144.981511,Primary
3626,Newstead Primary School,202021028,-37.105917,144.06719,Primary
3627,Newlyn Primary School,201021010,-37.41202483,143.98442658,Primary
3628,Burwood East Primary School,207031166,-37.859779,145.152209,Primary
3629,New Gisborne Primary School,210021232,-37.46288785,144.59657898,Primary
3630,Beeac Primary School,217031473,-38.193973,143.644279,Primary
3631,Essendon Primary School,206031114,-37.753095,144.921042,Primary
3632,Coburg Primary School,206011108,-37.741184,144.968026,Primary
3633,Myrniong Primary School,201021009,-37.61971733,144.34631976,Primary
3634,Mernda Primary School,209041434,-37.59459504,145.09224294,Primary
3635,Portland Primary School,217011422,-38.347295,141.599408,Primary
3636,Stawell Primary School,215011392,-37.056128,142.773775,Primary
3637,Rutherglen Primary School,204021065,-36.056209,146.460614,Primary
3638,Riddells Creek Primary School,210021234,-37.46122119,144.6797752,Primary
3639,Rokewood Primary School,203011035,-37.90365609,143.7228146,Primary
3640,Geelong East Primary School,203021039,-38.175556,144.382972,Primary
3641,Sale Primary School,205051103,-38.108303,147.073643,Primary
3642,Skipton Primary School,217031474,-37.686858,143.368161,Primary
3643,South Yarra Primary School,206041125,-37.841353,144.985619,Primary
3644,Stratford Primary School,205051101,-37.967251,147.085386,Primary
3645,Taradale Primary School,202021028,-37.1406,144.35,Primary
3646,Koroit And District Primary School,217041478,-38.292441,142.368702,Primary
3647,Tylden Primary School,202021030,-37.32497,144.408578,Primary
3648,Thomastown Primary School,209041223,-37.68238797,145.01173941,Primary
3649,Wangaratta Primary School,204021066,-36.355275,146.329419,Primary
3650,Wahgunyah Primary School,204021065,-36.013651,146.397925,Primary
3651,Woodend Primary School,202021031,-37.35341833,144.5329415,Primary
3652,Woodford Primary School,217041479,-38.316807,142.484504,Primary
3653,Werribee Primary School,213051368,-37.906703,144.65911,Primary
3654,Winters Flat Primary School,202021027,-37.070164,144.207491,Primary
3655,Wooragee Primary School,204031068,-36.29048,146.730883,Primary
3656,Wallan Primary School,209041224,-37.411862,144.975078,Primary
3657,Woolsthorpe Primary School,217041477,-38.18741399,142.43176333,Primary
3658,Yandoit Primary School,201021011,-37.21400151,144.08844074,Primary
3659,Yarram Primary School,205051104,-38.55882036,146.67539209,Primary
3660,Pleasant Street Primary School (Ballarat),201011002,-37.55705557,143.8387223,Primary
3661,Yea Primary School,204011062,-37.212727,145.428298,Primary
3662,Lancefield Primary School,210021235,-37.27495358,144.72642403,Primary
3663,Coimadai Primary School,213041353,-37.6137926,144.47830796,Primary
3664,Birregurra Primary School,217031473,-38.340507,143.786368,Primary
3665,Clayton North Primary School,212051320,-37.912036,145.122753,Primary
3666,Milawa Primary School,204021067,-36.44418085,146.43236478,Primary
3667,Lockwood Primary School,202021026,-36.802579,144.161558,Primary
3668,Bealiba Primary School,201031017,-36.789942,143.551897,Primary
3669,Bairnsdale Primary School,205021081,-37.82742322,147.6232285,Primary
3670,Gordon Primary School,201021012,-37.58384869,144.105053,Primary
3671,Hepburn Primary School,201021011,-37.310345,144.132348,Primary
3672,Lara Lake Primary School,203021043,-38.030405,144.395642,Primary
3673,Rosedale Primary School,205051102,-38.15428579,146.77414931,Primary
3674,Bright P-12 College,204031069,-36.733105,146.960928,Combined
3675,Rochester Primary School,216011409,-36.35459709,144.69799593,Primary
3676,Ararat Primary School,215011386,-37.285942,142.937307,Primary
3677,Jamieson Primary School,204011057,-37.301151,146.139739,Primary
3678,Preston South Primary School,209021428,-37.747867,145.007447,Primary
3679,Omeo Primary School,205021082,-37.100217,147.593082,Primary
3680,Harrietville Primary School,204031069,-36.887713,147.064936,Primary
3681,Mordialloc Beach Primary School,208031193,-38.005582,145.088809,Primary
3682,Healesville Primary School,211051276,-37.65713287,145.51604248,Primary
3683,Lake Bolac College,215011387,-37.720241,142.837903,Combined
3684,Toongabbie Primary School,205041098,-38.056967,146.625183,Primary
3685,Waubra Primary School,201031013,-37.35471,143.636687,Primary
3686,Great Western Primary School,215011392,-37.148513,142.85173,Primary
3687,Maffra Primary School,205051101,-37.964002,146.97677,Primary
3688,Broken Creek Primary School,204021064,-36.423279,145.889232,Primary
3689,Lal Lal Primary School,201021012,-37.67652683,144.01057085,Primary
3690,Cobden Primary School,217031475,-38.327119,143.078121,Primary
3691,St Leonards Primary School,203031051,-38.17193185,144.71501929,Primary
3692,Lilydale Primary School,211051278,-37.75367357,145.35406809,Primary
3693,Bendigo Primary School,202011018,-36.757329,144.264982,Primary
3694,Darraweit Guim Primary School,210021235,-37.4010281,144.89356635,Primary
3695,Linton Primary School,201031015,-37.68406827,143.56130878,Primary
3696,Invermay Primary School,201011003,-37.52085014,143.87439321,Primary
3697,Mitta Mitta Primary School,204031072,-36.533414,147.379483,Primary
3698,Camberwell Primary School,207011149,-37.833118,145.057999,Primary
3699,Greenvale Primary School,210051246,-37.640312,144.885933,Primary
3700,Alexandra Primary School,204011054,-37.19253956,145.71172559,Primary
3701,Rockbank Primary School,213041359,-37.732023,144.66214,Primary
3702,Bannockburn P-12 College,203011034,-38.047092,144.16951,Combined
3703,Doreen Primary School,209031212,-37.606324,145.146482,Primary
3704,Talbot Primary School,201031017,-37.16865,143.703604,Primary
