,code,name
644,201011001,Alfredton
645,201011002,Ballarat
646,201011005,Buninyong
647,201011006,Delacombe
648,201011007,Smythes Creek
649,201011008,Wendouree - Miners Rest
650,201011481,Ballarat East - Warrenheip
651,201011482,Ballarat North - Invermay
652,201011483,Canadian - Mount Clear
653,201011484,Sebastopol - Redan
654,201021009,Bacchus Marsh Surrounds
655,201021010,Creswick - Clunes
656,201021011,Daylesford
657,201021012,Gordon (Vic.)
658,201031013,Avoca
659,201031014,Beaufort
660,201031015,Golden Plains - North
661,201031016,Maryborough (Vic.)
662,201031017,Maryborough Surrounds
663,202011018,Bendigo
664,202011019,California Gully - Eaglehawk
665,202011020,East Bendigo - Kennington
666,202011021,Flora Hill - Spring Gully
667,202011022,Kangaroo Flat - Golden Square
668,202011023,Maiden Gully
669,202011024,Strathfieldsaye
670,202011025,White Hills - Ascot
671,202021026,Bendigo Surrounds - South
672,202021027,Castlemaine
673,202021028,Castlemaine Surrounds
674,202021029,Heathcote
675,202021030,Kyneton
676,202021031,Woodend
677,202031032,Bendigo Surrounds - North
678,202031033,Loddon
679,203011034,Bannockburn
680,203011035,Golden Plains - South
681,203011036,Winchelsea
682,203021037,Belmont
683,203021039,Geelong
684,203021040,Geelong West - Hamlyn Heights
685,203021042,Highton
686,203021043,Lara
687,203021044,Leopold
688,203021045,Newcomb - Moolap
689,203021046,Newtown (Vic.)
690,203021047,North Geelong - Bell Park
691,203021485,Charlemont
692,203021486,Corio - Lovely Banks
693,203021487,Grovedale - Mount Duneed
694,203021488,Norlane
695,203031048,Clifton Springs
696,203031049,Lorne - Anglesea
697,203031051,Portarlington
698,203031052,Point Lonsdale - Queenscliff
699,203031053,Torquay
700,203031489,Barwon Heads - Armstrong Creek
701,203031490,Ocean Grove
702,204011054,Alexandra
703,204011055,Euroa
704,204011056,Kilmore - Broadford
705,204011057,Mansfield (Vic.)
706,204011058,Nagambie
707,204011059,Seymour
708,204011060,Seymour Surrounds
709,204011061,Upper Yarra Valley
710,204011062,Yea
711,204021063,Benalla
712,204021064,Benalla Surrounds
713,204021065,Rutherglen
714,204021066,Wangaratta
715,204021067,Wangaratta Surrounds
716,204031068,Beechworth
717,204031069,Bright - Mount Beauty
718,204031070,Chiltern - Indigo Valley
719,204031071,Myrtleford
720,204031072,Towong
721,204031073,West Wodonga
722,204031075,Yackandandah
723,204031491,Baranduda - Leneva
724,204031492,Wodonga
725,205011076,Drouin
726,205011077,Mount Baw Baw Region
727,205011078,Trafalgar (Vic.)
728,205011079,Warragul
729,205021080,Alps - East
730,205021081,Bairnsdale
731,205021082,Bruthen - Omeo
732,205021083,Lake King
733,205021084,Lakes Entrance
734,205021085,Orbost
735,205021086,Paynesville
736,205031087,Foster
737,205031088,French Island
738,205031089,Korumburra
739,205031090,Leongatha
740,205031091,Phillip Island
741,205031092,Wilsons Promontory
742,205031093,Wonthaggi - Inverloch
743,205041094,Churchill
744,205041095,Moe - Newborough
745,205041096,Morwell
746,205041098,Yallourn North - Glengarry
747,205041493,Traralgon - East
748,205041494,Traralgon - West
749,205051099,Alps - West
750,205051100,Longford - Loch Sport
751,205051101,Maffra
752,205051102,Rosedale
753,205051103,Sale
754,205051104,Yarram
755,206011106,Brunswick East
756,206011107,Brunswick West
757,206011109,Pascoe Vale South
758,206011495,Brunswick - North
759,206011496,Brunswick - South
760,206011497,Coburg - East
761,206011498,Coburg - West
762,206021110,Alphington - Fairfield
763,206021112,Thornbury
764,206021499,Northcote - East
765,206021500,Northcote - West
766,206031113,Ascot Vale
767,206031115,Flemington
768,206031116,Moonee Ponds
769,206031501,Essendon (West) - Aberfeldie
770,206031502,Essendon - East
771,206041117,Carlton
772,206041118,Docklands
773,206041119,East Melbourne
774,206041120,Flemington Racecourse
775,206041121,Kensington (Vic.)
776,206041124,Parkville
777,206041125,South Yarra - West
778,206041127,West Melbourne - Industrial
779,206041503,Melbourne CBD - East
780,206041504,Melbourne CBD - North
781,206041505,Melbourne CBD - West
782,206041506,North Melbourne
783,206041507,Royal Botanic Gardens Victoria
784,206041508,Southbank (West) - South Wharf
785,206041509,Southbank - East
786,206041510,West Melbourne - Residential
787,206051128,Albert Park
788,206051129,Elwood
789,206051130,Port Melbourne
790,206051134,St Kilda East
791,206051511,Port Melbourne Industrial
792,206051512,South Melbourne
793,206051513,St Kilda - Central
794,206051514,St Kilda - West
795,206061135,Armadale
796,206061136,Prahran - Windsor
797,206061138,Toorak
798,206061515,South Yarra - North
799,206061516,South Yarra - South
800,206071139,Abbotsford
801,206071140,Carlton North - Princes Hill
802,206071141,Collingwood
803,206071142,Fitzroy
804,206071143,Fitzroy North
805,206071145,Clifton Hill - Alphington
806,206071517,Richmond (South) - Cremorne
807,206071518,Richmond - North
808,207011146,Ashburton (Vic.)
809,207011147,Balwyn
810,207011148,Balwyn North
811,207011149,Camberwell
812,207011150,Glen Iris - East
813,207011152,Hawthorn East
814,207011154,Kew East
815,207011155,Surrey Hills (West) - Canterbury
816,207011519,Hawthorn - North
817,207011520,Hawthorn - South
818,207011521,Kew - South
819,207011522,Kew - West
820,207021156,Bulleen
821,207021157,Doncaster
822,207021159,Templestowe
823,207021160,Templestowe Lower
824,207021424,Doncaster East - North
825,207021425,Doncaster East - South
826,207031161,Blackburn
827,207031162,Blackburn South
828,207031163,Box Hill
829,207031164,Box Hill North
830,207031165,Burwood (Vic.)
831,207031166,Burwood East
832,207031167,Surrey Hills (East) - Mont Albert
833,208011168,Beaumaris
834,208011169,Brighton (Vic.)
835,208011170,Brighton East
836,208011171,Highett (West) - Cheltenham
837,208011172,Hampton
838,208011173,Sandringham - Black Rock
839,208021174,Bentleigh - McKinnon
840,208021176,Carnegie
841,208021177,Caulfield - North
842,208021178,Caulfield - South
843,208021179,Elsternwick
844,208021180,Hughesdale
845,208021181,Murrumbeena
846,208021182,Ormond - Glen Huntly
847,208021426,Bentleigh East - North
848,208021427,Bentleigh East - South
849,208031183,Aspendale Gardens - Waterways
850,208031184,Braeside
851,208031185,Carrum - Patterson Lakes
852,208031186,Chelsea - Bonbeach
853,208031187,Chelsea Heights
854,208031188,Highett (East) - Cheltenham 
855,208031189,Edithvale - Aspendale
856,208031190,Mentone
857,208031191,Moorabbin - Heatherton
858,208031192,Moorabbin Airport
859,208031193,Mordialloc - Parkdale
860,208041194,Malvern - Glen Iris
861,208041195,Malvern East
862,209011196,Bundoora - East
863,209011197,Greensborough
864,209011198,Heidelberg - Rosanna
865,209011199,Heidelberg West
866,209011200,Ivanhoe
867,209011201,Ivanhoe East - Eaglemont
868,209011202,Montmorency - Briar Hill
869,209011203,Viewbank - Yallambie
870,209011204,Watsonia
871,209021205,Kingsbury
872,209021428,Preston - East
873,209021429,Preston - West
874,209021523,Reservoir - North East
875,209021524,Reservoir - North West
876,209021525,Reservoir - South East
877,209021526,Reservoir - South West
878,209031209,Eltham
879,209031210,Hurstbridge
880,209031211,Kinglake
881,209031212,Panton Hill - St Andrews
882,209031213,Plenty - Yarrambat
883,209031214,Research - North Warrandyte
884,209031215,Wattle Glen - Diamond Creek
885,209041216,Bundoora - North
886,209041217,Bundoora - West
887,209041220,Mill Park - North
888,209041221,Mill Park - South
889,209041223,Thomastown
890,209041224,Wallan
891,209041225,Whittlesea
892,209041431,Epping - East
893,209041432,Epping - South
894,209041433,Epping (Vic.) - West
895,209041435,South Morang - North
896,209041436,South Morang - South
897,209041437,Wollert
898,209041527,Doreen - North
899,209041528,Doreen - South
900,209041529,Lalor - East
901,209041530,Lalor - West
902,209041531,Mernda - North
903,209041532,Mernda - South
904,210011226,Airport West
905,210011227,Essendon Airport
906,210011228,Keilor
907,210011230,Niddrie - Essendon West
908,210011231,Strathmore
909,210011533,Avondale Heights
910,210011534,Keilor East
911,210021232,Gisborne
912,210021233,Macedon
913,210021234,Riddells Creek
914,210021235,Romsey
915,210031236,Coburg North
916,210031237,Fawkner
917,210031439,Gowanbrae
918,210031440,Hadfield
919,210031535,Glenroy - East
920,210031536,Glenroy - West
921,210031537,Oak Park
922,210031538,Pascoe Vale
923,210041240,Sunbury
924,210041539,Diggers Rest
925,210041540,Sunbury - South
926,210041541,Sunbury - West
927,210051242,Broadmeadows
928,210051243,Campbellfield - Coolaroo
929,210051245,Gladstone Park - Westmeadows
930,210051246,Greenvale - Bulla
931,210051247,Meadow Heights
932,210051248,Melbourne Airport
933,210051250,Tullamarine
934,210051441,Craigieburn - Central
935,210051442,Craigieburn - North
936,210051443,Craigieburn - South
937,210051445,Mickleham - Yuroke
938,210051542,Craigieburn - North West
939,210051543,Craigieburn - West
940,210051544,Roxburgh Park (South) - Somerton
941,210051545,Roxburgh Park - North
942,211011251,Bayswater
943,211011254,Knoxfield - Scoresby
944,211011255,Lysterfield
945,211011256,Rowville - Central
946,211011257,Rowville - North
947,211011258,Rowville - South
948,211011259,Wantirna
949,211011260,Wantirna South
950,211011446,Boronia
951,211011447,Ferntree Gully - North
952,211011448,Ferntree Gully (South) - Upper Ferntree Gully
953,211011449,The Basin
954,211021261,Donvale - Park Orchards
955,211021262,Warrandyte - Wonga Park
956,211031263,Bayswater North
957,211031265,Croydon Hills - Warranwood
958,211031266,Ringwood
959,211031267,Ringwood East
960,211031268,Ringwood North
961,211031450,Croydon - East
962,211031451,Croydon - West
963,211031452,Croydon South
964,211041269,Forest Hill
965,211041270,Mitcham (Vic.)
966,211041271,Nunawading
967,211041272,Vermont
968,211041273,Vermont South
969,211051274,Belgrave - Selby
970,211051275,Chirnside Park
971,211051276,Healesville - Yarra Glen
972,211051277,Kilsyth
973,211051278,Lilydale - Coldstream
974,211051279,Monbulk - Silvan
975,211051280,Montrose
976,211051281,Mooroolbark
977,211051282,Mount Dandenong - Olinda
978,211051283,Mount Evelyn
979,211051284,Upwey - Tecoma
980,211051285,Wandin - Seville
981,211051286,Yarra Valley
982,212011289,Emerald - Cockatoo
983,212011546,Beaconsfield - Officer
984,212011547,Bunyip - Garfield
985,212011548,Koo Wee Rup
986,212011549,Pakenham - North East
987,212011550,Pakenham - North West
988,212011551,Pakenham - South East
989,212011552,Pakenham - South West
990,212021293,Berwick - North
991,212021295,Doveton
992,212021297,Hallam
993,212021299,Narre Warren North
