,code,name
994,212021453,Endeavour Hills - North
995,212021454,Endeavour Hills - South
996,212021455,Narre Warren - North East
997,212021456,Narre Warren - South West
998,212021553,Berwick - South East
999,212021554,Berwick - South West
1000,212031300,Cranbourne
1001,212031303,Cranbourne South
1002,212031304,Cranbourne West
1003,212031306,Lynbrook - Lyndhurst
1004,212031308,Pearcedale - Tooradin
1005,212031457,Narre Warren South - East
1006,212031458,Narre Warren South - West
1007,212031555,Clyde North - North
1008,212031556,Clyde North - South
1009,212031557,Cranbourne East - North
1010,212031558,Cranbourne East - South
1011,212031559,Cranbourne North - East
1012,212031560,Cranbourne North - West
1013,212031561,Hampton Park - East
1014,212031562,Hampton Park - West
1015,212041309,Clarinda - Oakleigh South
1016,212041310,Clayton South
1017,212041312,Dandenong North
1018,212041313,Dingley Village
1019,212041316,Noble Park North
1020,212041317,Springvale
1021,212041318,Springvale South
1022,212041459,Noble Park - East
1023,212041460,Noble Park - West
1024,212041563,Dandenong - North
1025,212041564,Dandenong - South
1026,212041565,Keysborough - North
1027,212041566,Keysborough - South
1028,212051319,Ashwood - Chadstone
1029,212051321,Glen Waverley - East
1030,212051322,Glen Waverley - West
1031,212051323,Mount Waverley - North
1032,212051324,Mount Waverley - South
1033,212051325,Mulgrave
1034,212051326,Oakleigh - Huntingdale
1035,212051327,Wheelers Hill
1036,212051567,Clayton (North) - Notting Hill
1037,212051568,Clayton - Central
1038,213011328,Ardeer - Albion
1039,213011329,Cairnlea
1040,213011331,Delahey
1041,213011332,Keilor Downs
1042,213011333,Kings Park (Vic.)
1043,213011334,St Albans - North
1044,213011335,St Albans - South
1045,213011336,Sunshine
1046,213011337,Sunshine North
1047,213011338,Sunshine West
1048,213011339,Sydenham
1049,213011340,Taylors Lakes
1050,213011569,Deer Park
1051,213011570,Derrimut
1052,213021341,Altona
1053,213021342,Altona Meadows
1054,213021343,Altona North
1055,213021344,Newport
1056,213021345,Seabrook
1057,213021346,Williamstown
1058,213031347,Braybrook
1059,213031348,Footscray
1060,213031349,Maribyrnong
1061,213031350,Seddon - Kingsville
1062,213031351,West Footscray - Tottenham
1063,213031352,Yarraville
1064,213041353,Bacchus Marsh
1065,213041358,Melton West
1066,213041359,Rockbank - Mount Cottrell
1067,213041360,Taylors Hill
1068,213041461,Burnside
1069,213041462,Burnside Heights
1070,213041463,Caroline Springs
1071,213041571,Brookfield
1072,213041572,Cobblebank - Strathtulloh
1073,213041573,Eynesbury - Exford
1074,213041574,Fraser Rise - Plumpton
1075,213041575,Hillside
1076,213041576,Kurunjang - Toolern Vale
1077,213041577,Melton
1078,213041578,Melton South - Weir Views
1079,213051361,Hoppers Crossing - North
1080,213051362,Hoppers Crossing - South
1081,213051363,Laverton
1082,213051368,Werribee - South
1083,213051464,Point Cook - East
1084,213051466,Point Cook - South
1085,213051467,Werribee - East
1086,213051468,Werribee - West
1087,213051579,Manor Lakes - Quandong
1088,213051580,Point Cook - North East
1089,213051581,Point Cook - North West
1090,213051582,Tarneit (West) - Mount Cottrell
1091,213051583,Tarneit - Central
1092,213051584,Tarneit - North
1093,213051585,Tarneit - South
1094,213051586,Truganina - North
1095,213051587,Truganina - South East
1096,213051588,Truganina - South West
1097,213051589,Wyndham Vale - North
1098,213051590,Wyndham Vale - South
1099,214011370,Carrum Downs
1100,214011371,Frankston
1101,214011372,Frankston North
1102,214011373,Frankston South
1103,214011374,Langwarrin
1104,214011375,Seaford (Vic.)
1105,214011376,Skye - Sandhurst
1106,214021377,Dromana
1107,214021378,Flinders
1108,214021379,Hastings - Somers
1109,214021381,Mount Eliza
1110,214021382,Mount Martha
1111,214021383,Point Nepean
1112,214021384,Rosebud - McCrae
1113,214021385,Somerville
1114,214021591,Mornington - East
1115,214021592,Mornington - West
1116,215011386,Ararat
1117,215011387,Ararat Surrounds
1118,215011388,Horsham
1119,215011389,Horsham Surrounds
1120,215011390,Nhill Region
1121,215011391,St Arnaud
1122,215011392,Stawell
1123,215011393,West Wimmera
1124,215011394,Yarriambiack
1125,215021395,Irymple
1126,215021396,Merbein
1127,215021398,Mildura Surrounds
1128,215021399,Red Cliffs
1129,215021469,Mildura - North
1130,215021470,Mildura - South
1131,215031400,Buloke
1132,215031401,Gannawarra
1133,215031402,Kerang
1134,215031403,Robinvale
1135,215031404,Swan Hill
1136,215031405,Swan Hill Surrounds
1137,216011406,Echuca
1138,216011407,Kyabram
1139,216011408,Lockington - Gunbower
1140,216011409,Rochester
1141,216011410,Rushworth
1142,216021411,Cobram
1143,216021412,Moira
1144,216021413,Numurkah
1145,216021414,Yarrawonga
1146,216031415,Mooroopna
1147,216031416,Shepparton - North
1148,216031418,Shepparton Surrounds - East
1149,216031419,Shepparton Surrounds - West
1150,216031593,Kialla
1151,216031594,Shepparton - South East
1152,217011420,Glenelg (Vic.)
1153,217011421,Hamilton (Vic.)
1154,217011422,Portland
1155,217011423,Southern Grampians
1156,217031471,Camperdown
1157,217031472,Colac
1158,217031473,Colac Surrounds
1159,217031474,Corangamite - North
1160,217031475,Corangamite - South
1161,217031476,Otway
1162,217041477,Moyne - East
1163,217041478,Moyne - West
1164,217041479,Warrnambool - North
1165,217041480,Warrnambool - South
1166,297979799,Migratory - Offshore - Shipping (Vic.)
1167,299999499,No usual address (Vic.)
