,rent,coordinates,bedroom,Baths,Parking,url
0,300,"[-36.7684112, 144.290465]",2,1,1,https://www.domain.com.au/3-180-williamson-street-bendigo-vic-3550-16061472
1,510,"[-37.8253868, 144.962001]",1,1,1,https://www.domain.com.au/3203-118-kavanagh-street-southbank-vic-3006-14147286
2,330,"[-37.7676914, 144.9157867]",1,1,1,https://www.domain.com.au/6-13-laura-street-moonee-ponds-vic-3039-13337996
3,620,"[-38.3125918, 144.9980825]",3,2,1,https://www.domain.com.au/14-patterson-street-safety-beach-vic-3936-16041036
4,560,"[-37.8139449, 144.8713814]",3,2,1,https://www.domain.com.au/6-gent-street-yarraville-vic-3013-16081495
5,480,"[-37.899503, 145.111631]",3,3,1,https://www.domain.com.au/7-gamble-street-oakleigh-east-vic-3166-12682900
6,675,"[-37.8003413, 145.0315267]",2,1,3,https://www.domain.com.au/3-134-brougham-street-kew-vic-3101-15828390
7,420,"[-37.0599407, 144.2234265]",3,1,2,https://www.domain.com.au/62-urquhart-street-castlemaine-vic-3450-16027840
8,450,"[-37.9222206, 144.640631]",3,2,2,https://www.domain.com.au/11-coliban-road-werribee-vic-3030-16081270
9,750,"[-38.1727555, 144.4399205]",4,2,5,https://www.domain.com.au/1-9-whitehorse-road-moolap-vic-3224-16033941
10,410,"[-37.712294, 145.114647]",2,1,2,https://www.domain.com.au/2-139-141-old-para-court-montmorency-vic-3094-16054388
11,340,"[-37.963795, 145.05578]",1,1,1,https://www.domain.com.au/111-323-charman-road-cheltenham-vic-3192-16070735
12,450,"[-37.58000415437882, 143.7926896507797]",4,2,2,https://www.domain.com.au/55-wedgetail-drive-winter-valley-vic-3358-15378752
13,1000,"[-37.7604558, 145.3048131]",4,3,2,https://www.domain.com.au/19-parkview-terrace-chirnside-park-vic-3116-16066086
14,400,"[-37.5846708, 144.7145405]",3,3,1,https://www.domain.com.au/41-lawson-street-sunbury-vic-3429-16053435
15,500,"[-37.9415268, 145.1536438]",2,1,1,https://www.domain.com.au/3-1-stephenson-street-springvale-vic-3171-16071473
16,425,"[-37.7657406, 144.9208392]",1,1,1,https://www.domain.com.au/1304-40-hall-street-moonee-ponds-vic-3039-15678619
17,550,"[-37.8294033, 144.9692407]",2,1,1,https://www.domain.com.au/1012-39-coventry-street-southbank-vic-3006-16080130
18,420,"[-37.7174767, 144.6360455]",4,2,2,https://www.domain.com.au/18-wingfield-drive-thornhill-park-vic-3335-15150239
19,430,"[-38.133224, 144.334141]",3,1,1,https://www.domain.com.au/3-36-orr-street-manifold-heights-vic-3218-16081214
20,330,"[-37.6736544, 144.5658751]",3,1,2,https://www.domain.com.au/7-balmoral-place-melton-west-vic-3337-16080086
21,800,"[-37.850778, 145.026527]",3,2,1,https://www.domain.com.au/2-1065-malvern-road-toorak-vic-3142-13704952
22,580,"[-38.1724625, 144.3184765]",4,2,2,https://www.domain.com.au/percy-jones-crt-highton-vic-3216-14710723
23,410,"[-37.98574000000001, 145.0965881]",2,1,1,https://www.domain.com.au/4-2a-keefer-street-mordialloc-vic-3195-16049050
24,460,"[-37.8720893, 144.9776717]",2,1,1,https://www.domain.com.au/9-57-spenser-street-st-kilda-vic-3182-14098574
25,280,"[-38.6109807, 145.577822]",2,1,1,https://www.domain.com.au/61-campbell-street-wonthaggi-vic-3995-16077525
26,360,"[-37.8775707, 145.0482393]",2,1,1,https://www.domain.com.au/8-8-burke-road-malvern-east-vic-3145-9958927
27,350,"[-38.3384516, 141.6065012]",2,1,1,https://www.domain.com.au/1-75-bentinck-street-portland-vic-3305-16076442
28,390,"[-37.8307057, 144.6675074]",3,2,1,https://www.domain.com.au/3-cheer-terrace-tarneit-vic-3029-16032000
29,450,"[-37.8106088, 144.9645798]",1,1,1,https://www.domain.com.au/712-300-swanston-street-melbourne-vic-3000-15927340
30,410,"[-37.9201402, 145.1137876]",3,1,1,https://www.domain.com.au/26-robinson-street-clayton-vic-3168-12661757
31,550,"[-37.8556254, 144.8966547]",3,1,1,https://www.domain.com.au/15-roches-terrace-williamstown-vic-3016-15969791
32,990,"[-37.9036566, 145.0190954]",4,2,1,https://www.domain.com.au/647-hawthorn-road-brighton-east-vic-3187-15563252
33,300,"[-37.8127084, 145.008585]",1,1,1,https://www.domain.com.au/15-23-davison-street-richmond-vic-3121-16080356
34,390,"[-37.8729146, 144.596666]",4,2,2,https://www.domain.com.au/123-kinglake-drive-wyndham-vale-vic-3024-15987520
35,700.0,"[-37.841798, 144.8788595]",4,2,4,https://www.domain.com.au/50-mason-street-newport-vic-3015-15437766
36,400,"[-38.6428993, 145.7101579]",3,1,1,https://www.domain.com.au/25a-veronica-street-inverloch-vic-3996-16006402
37,430,"[-38.0822841, 145.2681158]",3,2,1,https://www.domain.com.au/53-toirram-crescent-cranbourne-vic-3977-15302555
38,550,"[-37.8510468, 144.9838866]",2,2,1,https://www.domain.com.au/439-111-punt-road-windsor-vic-3181-16055654
39,260,"[-37.7877905, 144.8909805]",1,1,1,https://www.domain.com.au/4-13-owen-street-footscray-vic-3011-16067314
40,1250,"[-37.8932139, 145.0398549]",4,4,2,https://www.domain.com.au/35b-hawson-avenue-glen-huntly-vic-3163-15385741
41,630,"[-37.899044, 145.077172]",2,1,1,https://www.domain.com.au/110-kangaroo-road-hughesdale-vic-3166-16054209
42,650,"[-37.7601627, 145.1059026]",4,2,2,https://www.domain.com.au/13-dingley-street-templestowe-lower-vic-3107-16072570
43,545,"[-37.8083951, 144.8736332]",3,1,1,https://www.domain.com.au/2-372-geelong-road-west-footscray-vic-3012-14943863
44,950,"[-37.80042299999999, 144.997448]",5,2,1,https://www.domain.com.au/1-325-johnston-street-abbotsford-vic-3067-15871858
45,380,"[-37.6313215, 145.0256771]",2,1,1,https://www.domain.com.au/2-tanika-walk-epping-vic-3076-12708064
46,420,"[-37.907413, 144.6572967]",2,2,1,https://www.domain.com.au/4-23-werribee-street-werribee-vic-3030-16029779
47,470,"[-37.7944454, 145.1708501]",3,1,1,https://www.domain.com.au/1-glika-street-donvale-vic-3111-16057243
48,460,"[-37.83831989999999, 144.6705643]",4,2,2,https://www.domain.com.au/21-toucan-road-tarneit-vic-3029-16028994
