,rent,coordinates,bedroom,Baths,Parking,url
49,370,"[-37.82158380000001, 144.8905936]",2,1,2,https://www.domain.com.au/1-hughes-street-yarraville-vic-3013-16036155
50,375,"[-38.5896647, 145.5937983]",3,2,2,https://www.domain.com.au/31-vicars-avenue-wonthaggi-vic-3995-16063805
51,725,"[-37.7463652, 144.8896909]",4,3,2,https://www.domain.com.au/47-diamond-street-niddrie-vic-3042-15903578
52,550,"[-37.8183759, 144.9554361]",2,1,1,https://www.domain.com.au/3405-568-collins-street-melbourne-vic-3000-13932223
53,180,"[-37.849419, 145.0954527]",0,1,8,https://www.domain.com.au/234-warrigal-road-camberwell-vic-3124-8431384
54,350,"[-37.9790399, 145.2146794]",2,1,1,https://www.domain.com.au/1-34-ann-street-dandenong-vic-3175-16075350
55,520,"[-37.6168093, 145.0085446]",4,2,2,https://www.domain.com.au/4-astoria-road-wollert-vic-3750-16072594
56,370,"[-37.5776064, 143.8563861]",3,1,1,https://www.domain.com.au/804-tress-street-mount-pleasant-vic-3350-16063263
57,410,"[-37.7234785, 145.02503]",2,2,1,https://www.domain.com.au/3-13-erskine-avenue-reservoir-vic-3073-16031814
58,440,"[-37.75760289999999, 144.9269598]",2,1,1,https://www.domain.com.au/2-8-fitzgerald-road-essendon-vic-3040-16078553
59,2,"[-37.5694771, 143.7910451]",4,2,2,https://www.domain.com.au/winter-valley-vic-3358-15339964
60,700,"[-37.9806092, 145.2630211]",3,2,4,https://www.domain.com.au/4-shafer-court-endeavour-hills-vic-3802-12884955
61,380,"[-37.880052, 144.7735378]",3,1,1,https://www.domain.com.au/3-37-39-may-avenue-altona-meadows-vic-3028-15821835
62,750,"[-37.8839267, 145.0358804]",3,2,2,https://www.domain.com.au/13-daniell-crescent-caulfield-vic-3162-15245468
63,160,"[-37.8353315, 145.1114189]",1,2,6,https://www.domain.com.au/rooms-227-elgar-road-surrey-hills-vic-3127-15904203
64,550,"[-38.1226436, 145.2351638]",4,2,2,https://www.domain.com.au/23-cilroy-crescent-cranbourne-south-vic-3977-16074310
65,440,"[-37.7221917, 144.9471813]",2,1,1,https://www.domain.com.au/181a-derby-street-pascoe-vale-vic-3044-15901842
66,400,"[-37.990148, 145.1698582]",3,2,1,https://www.domain.com.au/48-narellan-drive-keysborough-vic-3173-16065535
67,525,"[-37.806974, 144.946149]",2,1,1,https://www.domain.com.au/603-spencer-street-west-melbourne-vic-3003-16065963
68,490,"[-37.71679719999999, 145.085995]",3,2,2,https://www.domain.com.au/11-webster-crescent-watsonia-vic-3087-16075623
69,490,"[-37.8438796, 145.0546349]",2,2,1,https://www.domain.com.au/203-436-burke-road-camberwell-vic-3124-16053293
70,380,"[-37.7781984, 144.9349179]",2,1,1,https://www.domain.com.au/1-91-baroda-street-travancore-vic-3032-16012180
71,430,"[-37.4749898, 144.9491872]",4,2,2,https://www.domain.com.au/30-mistral-way-beveridge-vic-3753-16066596
72,410,"[-37.77706999999999, 144.821642]",3,1,2,https://www.domain.com.au/8-lawson-street-albion-vic-3020-13363169
73,390,"[-38.0162397, 144.385064]",2,1,2,https://www.domain.com.au/2-11-conole-court-lara-vic-3212-15440898
74,1000,"[-37.7857799, 145.0278286]",4,3,1,https://www.domain.com.au/1-beckwith-avenue-alphington-vic-3078-15453613
75,520,"[-37.8517962, 145.2828836]",3,2,2,https://www.domain.com.au/2-3-damar-avenue-boronia-vic-3155-16073799
76,525,"[-38.3115472, 144.9964793]",3,2,2,https://www.domain.com.au/81-seaview-avenue-safety-beach-vic-3936-16077800
77,420,"[-37.7225855, 144.9507085]",3,1,3,https://www.domain.com.au/201-sussex-street-pascoe-vale-vic-3044-16023847
78,460,"[-37.8595922, 144.9865055]",3,1,1,https://www.domain.com.au/7-16-charnwood-crescent-st-kilda-vic-3182-14424339
79,500,"[-37.9139248, 145.1988448]",3,2,2,https://www.domain.com.au/45-garnett-road-wheelers-hill-vic-3150-16066246
80,495,"[-37.751729, 145.0495313]",3,1,3,https://www.domain.com.au/10-miller-street-heidelberg-heights-vic-3081-16072780
81,490,"[-37.7954973, 145.290398]",3,2,2,https://www.domain.com.au/270-dorset-road-croydon-vic-3136-16075484
82,490,"[-37.9189522, 145.0344165]",2,2,1,https://www.domain.com.au/104-32-mahvo-street-bentleigh-vic-3204-16067295
83,435,"[-37.7096854, 144.5914532]",4,2,2,https://www.domain.com.au/10-slate-way-cobblebank-vic-3338-14640926
84,400,"[-37.9840749, 145.2636687]",4,1,2,https://www.domain.com.au/16-sydney-parkinson-drive-endeavour-hills-vic-3802-16065527
85,380,"[-37.8132239, 145.1246744]",1,1,1,https://www.domain.com.au/104-771-station-street-box-hill-north-vic-3129-16059310
86,650,"[-37.830541, 144.967508]",2,2,1,https://www.domain.com.au/2203-70-dorcas-street-southbank-vic-3006-16055855
87,520,"[-37.9335531, 145.0029893]",3,1,2,https://www.domain.com.au/467a-hampton-street-hampton-vic-3188-16022069
88,500,"[-37.8332338, 144.6550677]",4,2,2,https://www.domain.com.au/12-pantanal-road-tarneit-vic-3029-16052365
89,630,"[-37.83878260000001, 144.993722]",2,1,1,https://www.domain.com.au/1807-2-claremont-street-south-yarra-vic-3141-16074836
90,625,"[-37.9728391, 145.0392553]",3,1,2,https://www.domain.com.au/65-morey-road-beaumaris-vic-3193-16082151
91,375,"[-36.1356753, 146.8808626]",3,1,2,https://www.domain.com.au/40-elm-street-wodonga-vic-3690-16078242
92,380,"[-37.7690355, 144.9606337]",1,1,1,https://www.domain.com.au/412-288-albert-street-brunswick-vic-3056-16079370
93,420,"[-37.7682327, 144.939181]",2,1,1,https://www.domain.com.au/5-4-balfe-crescent-brunswick-west-vic-3055-16039989
94,420,"[-37.6076389, 145.0147827]",3,2,2,https://www.domain.com.au/38-evolve-esplanade-wollert-vic-3750-16026287
95,450,"[-37.8456532, 144.8638611]",2,1,1,https://www.domain.com.au/8-30-blenheim-road-newport-vic-3015-16077997
96,350,"[-38.074369, 145.4805042]",3,1,2,https://www.domain.com.au/20-james-street-pakenham-vic-3810-16030375
97,445,"[-37.7001375, 144.9152969]",2,2,1,https://www.domain.com.au/3-880-pascoe-vale-road-glenroy-vic-3046-16032051
98,410,"[-37.7923011, 144.8087899]",3,1,2,https://www.domain.com.au/37-larool-crescent-sunshine-west-vic-3020-16022397
99,700,"[-37.8446122, 144.9881732]",2,1,1,https://www.domain.com.au/44-tyrone-street-south-yarra-vic-3141-15999415
100,360,"[-37.7563126, 144.9168402]",1,1,1,https://www.domain.com.au/304-19-russell-street-essendon-vic-3040-16076874
101,450,"[-37.6424437, 145.0834745]",4,2,2,https://www.domain.com.au/20-paringa-avenue-south-morang-vic-3752-16042792
102,430,"[-37.89319920000001, 145.0870456]",2,1,1,https://www.domain.com.au/3-1378-dandenong-road-hughesdale-vic-3166-15698166
103,460,"[-37.8735901, 145.1878443]",4,1,1,https://www.domain.com.au/2-castle-close-glen-waverley-vic-3150-10342987
104,580,"[-37.7053434, 145.1044589]",4,2,2,https://www.domain.com.au/6-eldale-avenue-greensborough-vic-3088-16065788
105,750,"[-37.8590955, 144.9769309]",2,2,2,https://www.domain.com.au/33-352-canterbury-rd-st-kilda-vic-3182-16005007
106,600,"[-37.740664, 144.989459]",3,3,1,https://www.domain.com.au/2-295-gilbert-road-preston-vic-3072-16025754
107,450,"[-37.8698288, 145.2875908]",4,2,1,https://www.domain.com.au/23-currawa-drive-boronia-vic-3155-16057947
108,1500,"[-37.8411, 144.990439]",3,2,1,https://www.domain.com.au/22-davis-avenue-south-yarra-vic-3141-16072495
109,680,"[-37.3568755, 144.5255893]",3,1,2,https://www.domain.com.au/-36-anslow-street-woodend-vic-3442-16067691
110,450,"[-37.8137731, 145.2259855]",2,2,1,https://www.domain.com.au/102-8-bond-street-ringwood-vic-3134-16071516
111,600,"[-36.7670877, 144.2829621]",2,2,1,https://www.domain.com.au/3-hoskins-street-quarry-hill-vic-3550-8074820
112,350,"[-37.7417775, 145.0021801]",1,1,1,https://www.domain.com.au/15-44-mary-street-preston-vic-3072-14182227
113,850,"[-37.8409071, 145.0261925]",2,1,1,https://www.domain.com.au/16-glyndebourne-avenue-toorak-vic-3142-16037962
114,450,"[-37.8057684, 144.987113]",1,1,1,https://www.domain.com.au/1304e-9-robert-street-collingwood-vic-3066-16080814
115,550,"[-37.889618, 145.082716]",4,2,1,https://www.domain.com.au/1381-dandenong-road-malvern-east-vic-3145-12709047
116,440,"[-38.37046, 144.8697484]",2,1,2,https://www.domain.com.au/22-flamingo-road-capel-sound-vic-3940-15661505
117,880,"[-37.8950744, 145.0397127]",4,1,2,https://www.domain.com.au/31-foster-ave-glen-huntly-vic-3163-16064783
118,450,"[-37.7232754, 145.0235662]",2,2,1,https://www.domain.com.au/2-21-barwon-avenue-reservoir-vic-3073-16070924
119,440,"[-37.7398878, 144.9409874]",2,1,1,https://www.domain.com.au/87-balmoral-avenue-pascoe-vale-south-vic-3044-15984099
120,260,"[-35.92624, 145.6516249]",2,1,1,https://www.domain.com.au/2-1-sturt-street-cobram-vic-3644-16062919
121,700,"[-37.8476936, 144.8920981]",3,1,3,https://www.domain.com.au/261-douglas-parade-newport-vic-3015-15462878
122,355,"[-37.8712205, 144.5907981]",3,2,2,https://www.domain.com.au/9-springwood-terrace-manor-lakes-vic-3024-16039406
123,580,"[-37.7723305, 144.8818692]",3,2,2,https://www.domain.com.au/20-wests-road-maribyrnong-vic-3032-16068146
124,695,"[-37.804392, 144.8926999]",3,2,2,https://www.domain.com.au/68b-walter-street-seddon-vic-3011-16077762
125,270,"[-37.5436585, 143.8687382]",2,1,1,https://www.domain.com.au/1-14-aquila-court-ballarat-north-vic-3350-15988138
126,430,"[-37.7304127, 144.926752]",2,1,1,https://www.domain.com.au/5-451-gaffney-street-pascoe-vale-vic-3044-16040789
127,600,"[-37.4933632, 144.5955694]",4,2,1,https://www.domain.com.au/11-grant-avenue-gisborne-vic-3437-16035741
128,430,"[-37.894618, 145.087313]",2,1,1,https://www.domain.com.au/2-9-warrigal-rd-hughesdale-vic-3166-13139015
129,600,"[-38.3776465, 144.7907128]",4,2,2,https://www.domain.com.au/33-pardoner-road-rye-vic-3941-16034416
130,410,"[-37.811635, 145.0136396]",1,1,1,https://www.domain.com.au/509a-1-acacia-place-abbotsford-vic-3067-16082671
131,495,"[-37.813577, 144.9429949]",1,1,1,https://www.domain.com.au/s3209-231-harbour-esplanade-docklands-vic-3008-16047103
132,430,"[-37.7681036, 144.8216094]",3,2,2,https://www.domain.com.au/1-4-camperdown-avenue-sunshine-north-vic-3020-14353153
133,520,"[-37.84084070000001, 144.8655155]",3,1,1,https://www.domain.com.au/201-mason-street-newport-vic-3015-16038586
134,350,"[-37.746704, 144.919498]",2,1,1,https://www.domain.com.au/6-164-napier-st-essendon-vic-3040-16064627
135,450,"[-37.8761751, 145.0935585]",2,1,1,https://www.domain.com.au/302-21-collins-street-chadstone-vic-3148-14815204
136,410,"[-37.812881, 145.252679]",3,1,1,https://www.domain.com.au/2-14-lois-street-ringwood-east-vic-3135-16082946
137,650,"[-37.8211181, 145.0032152]",2,1,1,https://www.domain.com.au/94-coppin-street-richmond-vic-3121-16062861
138,430,"[-37.9663406, 145.1687163]",2,1,2,https://www.domain.com.au/4-135-corrigan-road-noble-park-vic-3174-16072856
139,475,"[-38.110572, 145.254886]",3,2,2,https://www.domain.com.au/5-kawana-mews-cranbourne-vic-3977-16026932
140,280,"[-37.7621202, 144.7596346]",2,1,2,https://www.domain.com.au/1-1-tinto-close-deer-park-vic-3023-16012401
141,330,"[-37.8175573, 145.1921463]",1,1,1,https://www.domain.com.au/427b-1-colombo-street-mitcham-vic-3132-16070585
142,1036,"[-37.8219262, 144.962153]",1,1,1,https://www.domain.com.au/1705-1-freshwater-place-southbank-vic-3006-16065015
143,509,"[-37.7371636, 144.8875417]",3,2,1,https://www.domain.com.au/3-42-carrington-road-niddrie-vic-3042-16060317
144,450,"[-38.073184, 145.3174811]",3,2,2,https://www.domain.com.au/17-peregrine-street-cranbourne-north-vic-3977-16082823
145,390,"[-37.5785517, 144.7071202]",3,1,2,https://www.domain.com.au/167-gap-road-sunbury-vic-3429-16079845
146,430,"[-37.859402, 145.2533937]",3,1,4,https://www.domain.com.au/26-matlock-road-boronia-vic-3155-13298792
147,595,"[-37.8906915, 145.0855713]",2,1,2,https://www.domain.com.au/2-16-arcadia-avenue-malvern-east-vic-3145-15935146
148,420,"[-38.1116486, 145.1369152]",2,1,1,https://www.domain.com.au/1-23-raymond-road-seaford-vic-3198-16038539
149,350,"[-38.4815682, 145.9553283]",3,1,1,https://www.domain.com.au/3-lee-parade-leongatha-vic-3953-16038130
150,370,"[-36.7422526, 144.2805292]",3,1,1,https://www.domain.com.au/18a-lobb-st-north-bendigo-vic-3550-16046395
151,580,"[-37.8142025, 144.9417005]",2,2,1,https://www.domain.com.au/605-15-caravel-lane-docklands-vic-3008-16076321
152,360,"[-37.8131577, 145.1218046]",2,1,1,https://www.domain.com.au/9-96-thames-street-box-hill-north-vic-3129-16028015
153,500,"[-37.7797711, 144.9393747]",2,2,1,https://www.domain.com.au/710-67-galada-avenue-parkville-vic-3052-16046651
154,395,"[-37.7489763, 144.9047154]",2,1,1,https://www.domain.com.au/4-19-ballater-street-essendon-vic-3040-16058257
155,440,"[-38.145814, 144.3329454]",2,1,2,https://www.domain.com.au/21-churchill-avenue-newtown-vic-3220-16035880
156,450,"[-37.7819706, 144.5486809]",4,2,2,https://www.domain.com.au/3-elmore-avenue-eynesbury-vic-3338-16034884
157,670,"[-37.9604384, 145.049639]",3,1,4,https://www.domain.com.au/29-heather-grove-cheltenham-vic-3192-15968117
158,1250,"[-38.0242147, 145.0991843]",4,3,2,https://www.domain.com.au/6-sophia-avenue-aspendale-vic-3195-15841211
159,400,"[-37.8406775, 144.6561822]",4,2,2,https://www.domain.com.au/5-crissa-street-tarneit-vic-3029-16028279
160,310,"[-37.8610222, 144.7763886]",2,1,2,https://www.domain.com.au/2-25-williams-road-laverton-vic-3028-14995653
161,510,"[-37.8501081, 145.0079609]",2,1,1,https://www.domain.com.au/4-41-grandview-grove-prahran-vic-3181-16011984
162,590,"[-37.8211627, 144.9419443]",2,1,1,https://www.domain.com.au/1401n-889-collins-st-docklands-vic-3008-16040642
163,325,"[-37.713735, 144.996127]",2,1,1,https://www.domain.com.au/3-6-griffiths-street-reservoir-vic-3073-16079195
164,755,"[-37.74855489999999, 144.9704982]",2,1,1,https://www.domain.com.au/56-walsh-street-coburg-vic-3058-15987236
165,400,"[-37.7199524, 144.6331433]",4,2,2,https://www.domain.com.au/23-houston-drive-thornhill-park-vic-3335-15910084
166,315,"[-37.8656744, 145.0010954]",1,1,1,https://www.domain.com.au/13-7-cardigan-street-st-kilda-east-vic-3183-16028924
167,350,"[-37.8229204, 145.1290263]",1,1,1,https://www.domain.com.au/4-24-rose-street-box-hill-vic-3128-9978704
168,1695,"[-37.9052991, 144.9865485]",5,2,2,https://www.domain.com.au/19-moule-avenue-brighton-vic-3186-15981059
169,290,"[-36.6229971, 143.2634472]",3,1,4,https://www.domain.com.au/6-george-street-st-arnaud-vic-3478-16067981
170,1250,"[-37.8374374, 144.9955647]",3,3,2,https://www.domain.com.au/1701-649-chapel-street-south-yarra-vic-3141-15879263
171,390,"[-37.7574237, 144.7910777]",2,2,1,https://www.domain.com.au/403-118-cairnlea-drive-cairnlea-vic-3023-16061980
172,390,"[-37.7596015, 144.9417186]",2,1,1,https://www.domain.com.au/7-35-murray-street-brunswick-west-vic-3055-16063624
173,410,"[-37.5748697, 144.9276766]",4,2,1,https://www.domain.com.au/11-elmville-place-craigieburn-vic-3064-16070767
174,450,"[-38.184494, 144.478108]",3,1,2,https://www.domain.com.au/4-6-lorikeet-court-leopold-vic-3224-16083112
175,420,"[-37.89209510000001, 144.7105168]",4,2,2,https://www.domain.com.au/14-zuccotti-crescent-point-cook-vic-3030-13686918
176,400,"[-37.8808353, 144.6135438]",4,2,2,https://www.domain.com.au/39-hindmarsh-drive-manor-lakes-vic-3024-16056271
177,585,"[-37.7761353, 145.3249121]",4,3,1,https://www.domain.com.au/24-lansell-road-mooroolbark-vic-3138-16058059
178,580,"[-37.7585776, 144.9670748]",2,1,1,https://www.domain.com.au/6-33-35-mitchell-street-brunswick-vic-3056-16052594
179,535,"[-38.0229574, 144.3965247]",4,2,2,https://www.domain.com.au/12-hackberry-close-lara-vic-3212-16046150
180,400,"[-37.6996389, 144.8776131]",3,1,2,https://www.domain.com.au/10-christopher-crescent-tullamarine-vic-3043-15268525
181,1800,"[-37.9527473, 145.0172376]",4,3,2,https://www.domain.com.au/24-dreadnought-street-sandringham-vic-3191-16037409
182,500,"[-37.8920746, 145.1088979]",3,1,2,https://www.domain.com.au/14-carrol-grove-mount-waverley-vic-3149-16040385
183,390,"[-37.7452255, 145.0610305]",2,1,1,https://www.domain.com.au/2-38-lower-plenty-road-rosanna-vic-3084-16039073
184,440,"[-38.1822683, 144.4583207]",4,2,2,https://www.domain.com.au/8-saxbee-way-leopold-vic-3224-16079106
185,1000,"[-37.9123487, 145.0594803]",4,3,2,https://www.domain.com.au/36a-thomasina-street-bentleigh-east-vic-3165-16031852
186,460,"[-37.5455982, 143.8159128]",3,2,2,https://www.domain.com.au/27-ayrvale-avenue-lake-gardens-vic-3355-15694452
187,520,"[-37.8486774, 145.2690225]",4,2,2,https://www.domain.com.au/2-62-scoresby-road-bayswater-vic-3153-16075654
188,400,"[-37.8444721, 144.9926381]",2,1,1,https://www.domain.com.au/12-32-grosvenor-street-south-yarra-vic-3141-16058625
189,380,"[-37.7960689, 145.2830007]",2,1,1,https://www.domain.com.au/54-13-15-hewish-road-croydon-vic-3136-15209545
190,330,"[-37.896958, 144.66229]",2,1,1,https://www.domain.com.au/2-18-glen-street-werribee-vic-3030-16001149
191,720,"[-37.8618962, 145.1432671]",4,3,1,https://www.domain.com.au/49-pascall-street-mount-waverley-vic-3149-15107082
192,400,"[-37.9212961, 144.6451241]",4,2,2,https://www.domain.com.au/66-powlett-street-werribee-vic-3030-16061400
193,295,"[-37.8902175, 145.0597333]",1,1,1,https://www.domain.com.au/8-25-elliott-avenue-carnegie-vic-3163-16050997
194,380,"[-37.8403069, 144.6656985]",4,2,2,https://www.domain.com.au/70-mercantour-boulevard-tarneit-vic-3029-14559229
195,440,"[-37.7338265, 144.961787]",2,1,1,https://www.domain.com.au/302-53-gaffney-street-coburg-vic-3058-16035732
196,400,"[-38.1048906, 145.275413]",3,2,2,https://www.domain.com.au/26-clarendon-street-cranbourne-vic-3977-15988754
197,995,"[-37.7547403, 145.1316547]",4,3,3,https://www.domain.com.au/107a-atkinson-street-templestowe-vic-3106-16058466
198,340,"[-38.133214, 144.3453741]",2,1,1,https://www.domain.com.au/3-53-isabella-street-geelong-west-vic-3218-16057661
199,380,"[-38.0365469, 145.3088412]",2,1,2,https://www.domain.com.au/10-armadale-drive-narre-warren-vic-3805-14582265
200,580,"[-38.2378065, 145.042318]",4,3,2,https://www.domain.com.au/4-51-van-ness-avenue-mornington-vic-3931-16042811
201,290,"[-37.7731617, 144.773584]",1,1,1,https://www.domain.com.au/3-1-tulloch-street-deer-park-vic-3023-16069563
202,825,"[-37.8617319, 144.9756185]",3,2,3,https://www.domain.com.au/1-22-jackson-street-st-kilda-vic-3182-16048000
203,500,"[-38.3771915, 144.7842301]",3,1,2,https://www.domain.com.au/10-friar-street-blairgowrie-vic-3942-16050737
204,800,"[-37.83087750000001, 144.9686406]",3,2,2,https://www.domain.com.au/117-39-dorcas-st-south-melbourne-vic-3205-15262716
205,350,"[-37.8902207, 145.0582376]",1,1,1,https://www.domain.com.au/1-26-shepparson-avenue-carnegie-vic-3163-16059137
206,450,"[-37.8059128, 145.1300608]",3,1,1,https://www.domain.com.au/13-kneale-drive-box-hill-north-vic-3129-16009402
207,470,"[-37.8027282, 144.9882807]",3,0,1,https://www.domain.com.au/35-dight-street-collingwood-vic-3066-16002981
208,325,"[-37.8639769, 144.9904173]",2,1,1,https://www.domain.com.au/5-2-kipling-street-st-kilda-vic-3182-16082197
209,500,"[-37.6994648, 145.0986414]",3,2,4,https://www.domain.com.au/78-hailes-street-greensborough-vic-3088-16072820
210,160,"[-37.91007390000001, 145.1254236]",7,3,2,https://www.domain.com.au/2-37-stockdale-avenue-clayton-vic-3168-14725614
211,550,"[-37.8083648, 144.9667899]",2,1,1,https://www.domain.com.au/1108-68-la-trobe-street-melbourne-vic-3000-16052919
212,610,"[-37.786312, 144.977253]",2,1,1,https://www.domain.com.au/568-nicholson-street-fitzroy-north-vic-3068-16013155
213,725,"[-37.8590072, 145.0501558]",2,2,2,https://www.domain.com.au/g03-1457-high-street-glen-iris-vic-3146-16074275
214,470,"[-38.3828587, 142.4639543]",3,1,2,https://www.domain.com.au/17-duirs-street-warrnambool-vic-3280-16081789
215,500,"[-38.1433384, 144.3399474]",3,1,1,https://www.domain.com.au/23-crofton-st-geelong-west-vic-3218-16078418
216,425,"[-37.769586, 144.8878856]",2,1,2,https://www.domain.com.au/50-bloomfield-avenue-maribyrnong-vic-3032-16060896
217,450,"[-37.7638529, 145.1682453]",2,2,1,https://www.domain.com.au/204-190-reynolds-road-doncaster-east-vic-3109-16021613
218,440,"[-37.5331767, 144.9073981]",4,2,2,https://www.domain.com.au/92-balmain-road-mickleham-vic-3064-16049824
219,400,"[-37.8527931, 145.004259]",2,1,1,https://www.domain.com.au/4-36-aberdeen-road-prahran-vic-3181-16042420
220,560,"[-37.7368221, 144.9423379]",3,2,2,https://www.domain.com.au/2-19-eastgate-street-pascoe-vale-vic-3044-15542047
